account,destination,asset,amount,transaction_hash
CA33NXYN7H3EBDSA3U2FPSULGJTTL3FQRHD2ADAAPTKS3FUJOE73735A,GBGVK3U6E7UWVLUDZWVICWZ6L5IWJ7YSDHAE5SRW6UXFSOACS7OU4YJS,EURC,4781.0983504,a32cc82a1b5bcc76d50a308196edb1ddd2517d56fcd3ffb16a21efb2c2d3f74f
GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,EURC,2262.6938265,4a46695eb02c48e276c26fafd3c81c95ea773e8db2fecfc1c2a82882972474ad
GBTCIFMWQ63FIYT7D6Z7FT77IFWEPOXNHCIWLQIZI2K5O4NKCLMY6XH7,GBTCIFMWQ63FIYT7D6Z7FT77IFWEPOXNHCIWLQIZI2K5O4NKCLMY6XH7,EURC,1524.9474224,97e9fa373b7ad5f4ae12cc96c7fa5b322e5116e189dad3afe4f963a20b6e974d
GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,EURC,1277.8237774,72d4605129d6f6ffa28fb6464072cc945fc153508a4669b642a17e6011698b07
GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,EURC,1181.9958053,d25296377a393af3a7afa2da4bc59ee5169072d94bd4300c3ff8869b5fa67dd2
GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,EURC,807.1996224,7785a1432f52a180af9d814c4ca6a1097f9a183b172d4a8aa569e881ecba02d7
GAAUMMCT5PVLB5SP7FJYDXKZYDFJLXLJ34EXFREMDWOZLKYVE2PNVZWO,GAAUMMCT5PVLB5SP7FJYDXKZYDFJLXLJ34EXFREMDWOZLKYVE2PNVZWO,EURC,434.7862507,9ec154c84e48a6f4083c6d876d7a2a6d860f3e3174c3e0752397f17afa1a0d54
GAH4AXT76QELFMSAZSLK7227CVN573JUQ4DF2NDRQV7YEIY3L4URKRTC,GAH4AXT76QELFMSAZSLK7227CVN573JUQ4DF2NDRQV7YEIY3L4URKRTC,EURC,297.5417710,e066534683b851b25750b75fa7c46072c04e9b3be21fcf85ed1f233a6c65cc23
GB3OXRDH7ULE62AI3QOK3VH34MUXXZHFYDFQ3BI7R2WAFHNVSC4R3ZLP,GB3OXRDH7ULE62AI3QOK3VH34MUXXZHFYDFQ3BI7R2WAFHNVSC4R3ZLP,EURC,265.4751455,3f8cfc7de044eecd0757ebe783a3971c5b47e30336f8201942af9806bf935ba1
GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,EURC,185.2404353,b9bec517e6714bd00535a5ec8f6f0a63440d3c5e4f20baf4e27fde13f536910d
CAPPWPX7Q3TNMXUS6SWGWXPHIAUIU4WQVGFI2R75UDRWYMDOEUJEDBGN,GACPU46V4OBGHFMPUEI3NE52CTX2BB6EOIYKWDZSLW6RDY6OX56Q2SG4,EURC,166.1438374,42cf690c93a0807513d4631fa0fc50da00ea9982fa681aefb6ef6b79d195f107
GABNGXVFO5LPSDJRT4NDBLS25H6TUJXPMWD5MP3GSOZ7S22SA7JWF7KX,GABNGXVFO5LPSDJRT4NDBLS25H6TUJXPMWD5MP3GSOZ7S22SA7JWF7KX,EURC,32.2582022,e4e50a35e095291948e83418536d1c39f730134c85ff203cb976264ddaba3af4
GBNZXBH7SWFPU7WW2D3WGMWZHSH2L3G5XFQO3FTLU5ZIYINOOAI2EQVI,GBNZXBH7SWFPU7WW2D3WGMWZHSH2L3G5XFQO3FTLU5ZIYINOOAI2EQVI,EURC,17.9278284,9c35db19e3492ee20f142e3a6991ec451063b2ce9b88aadbf99528d2a4f617b8
GA4XQJFTIVONNM2MXU5ICJU2HSRVNK6O45EJO7SJF43OXW4TDWQOQZ4W,GA4XQJFTIVONNM2MXU5ICJU2HSRVNK6O45EJO7SJF43OXW4TDWQOQZ4W,EURC,13.2572351,5500b718bfd6befd51739d2cdb6facf294dc535b0aeafb2c2c97c829b5c59a8d
GDDVWZQIFSSZYXVYSHPJS4OCMCTAV524JXRQZRRK6GHQIPRII532H2Q4,GDDVWZQIFSSZYXVYSHPJS4OCMCTAV524JXRQZRRK6GHQIPRII532H2Q4,EURC,9.7215570,f27b7a3e1025d06911a0f4c04711d2914e6223bce5c312be7fec19600e9705a8
GDCDN3ZX23NCCSEQIVGKRQ36QTIXBAKXWHGFWRGWDQUPWGUPZ3OELRXK,GDCDN3ZX23NCCSEQIVGKRQ36QTIXBAKXWHGFWRGWDQUPWGUPZ3OELRXK,EURC,9.2649311,d4d5cf86f9a2fc50589b757c0e9eb1268432c6cab3ce0ecc042790b9b1b30184
GCGQXFTD3EU5VAC2SBDFSWWZJNAVS3N747BFKXBA7JIW2ZSBFQC7F6XS,GCGQXFTD3EU5VAC2SBDFSWWZJNAVS3N747BFKXBA7JIW2ZSBFQC7F6XS,EURC,7.8012522,bd89f21dddeee397a0d8c2d6138e5f1edd486b61e2ae6fd283d8c1304d914d32
GACMBVFG56MWHDW7FRWA6MYIVKQ77SUT3C4J24MI5UBBKVU2RAD2DFE2,GACMBVFG56MWHDW7FRWA6MYIVKQ77SUT3C4J24MI5UBBKVU2RAD2DFE2,EURC,6.8809199,4acb4e9d2732bfa828683519933f8b100e3db8993dd7ef18ebc757053b487b70
GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,EURC,6.7645996,a2f029ab70e6b5756a4d501fe12cde5fb9b6ccb1ea453e1e9fe88d45aac55e90
GB4C6XKHXZLFBQKL7IVUJMPQZ4BVIJNYS4QCFWGAH2WFDORINDCFHR2U,GB4C6XKHXZLFBQKL7IVUJMPQZ4BVIJNYS4QCFWGAH2WFDORINDCFHR2U,EURC,6.2399131,6acef8dff0586870438cc0b4011d12c089e46cbd1f89a582a9dbd4f381da0dba
GBE4FY6RLT4KYM35MR47ZXATCG67ONZ7VKESEMHFPF2QF3VVHV2QM6L2,GBE4FY6RLT4KYM35MR47ZXATCG67ONZ7VKESEMHFPF2QF3VVHV2QM6L2,EURC,5.8102977,f7d0eeda7689778e16ef30edf991ddf26c90a7083b4da43676ea4c89f2878b38
GBXZELDK5A3PPDBBFDBIAO5I3GYLAEYJ427KWWSCXWGGRDOTVKHEXLTM,GBXZELDK5A3PPDBBFDBIAO5I3GYLAEYJ427KWWSCXWGGRDOTVKHEXLTM,EURC,4.2471825,78bb9acadfe395f7ee8f4b9f6fcc0d085f49ff9c8ae40dde43cb99d41148774d
GASAXWRQCKI5RRLBMFMUOV342DY4TKJM6DE6HZMLGOPKMZLKK43MMDXP,GASAXWRQCKI5RRLBMFMUOV342DY4TKJM6DE6HZMLGOPKMZLKK43MMDXP,EURC,2.5829435,172dbfa0d15ac0e2e4e75ff2176fc8f04f13b896e4b6cf13c9755d25bf92d057
GDUHSEICX6MRQWRQWW4QQX766FVWTUCOGTLZ5QAH6SL2IVX6NLEIHRKU,GDUHSEICX6MRQWRQWW4QQX766FVWTUCOGTLZ5QAH6SL2IVX6NLEIHRKU,EURC,2.3848902,7126db1c0aef7083cf4bd9ac22866de9c430734fe9353c759551d1470ee67662
GDX3CRTZCVVGIHTVGD2IEVRA55MT4D66TXQE5SMRVU744LMENXXN6OVL,GDX3CRTZCVVGIHTVGD2IEVRA55MT4D66TXQE5SMRVU744LMENXXN6OVL,EURC,2.3225688,0c461e8eda7a2e05b264901bcd96cd05bd367125cf2170addecb92a55e912235
GAD7ZGQ5FT7MWLEJHGKQ36HDQMRHCFJIBA5ICWYT2ERW2TCWG2MIZUUD,GAD7ZGQ5FT7MWLEJHGKQ36HDQMRHCFJIBA5ICWYT2ERW2TCWG2MIZUUD,EURC,1.9290928,d5c4a910d73fb28c7c44b6dbd27f91cc852106f8ee47f451b68558a7b80c0273
GC7WRELSV3MNZLHMNWVC4ADRTTVNEA46FARFQDU6QFJZLHRRV55HS6IV,GC7WRELSV3MNZLHMNWVC4ADRTTVNEA46FARFQDU6QFJZLHRRV55HS6IV,EURC,1.4797036,6629127f3e3f73462763e9b5cdecfacd90f59b93229a87a6225765db0e91846d
