account,destination,asset,amount,transaction_hash
GCA34HBKNLWN3AOXWBRW5Y3HSGHCWF3UDBRJ5YHGU6HWGJZEPO2NSXI3,GCA34HBKNLWN3AOXWBRW5Y3HSGHCWF3UDBRJ5YHGU6HWGJZEPO2NSXI3,XLM,53145365.6085847,404c3ca7b78d10934d61713fe11c61e26f28509d54f4fc15f32dc142ed3f4776
GBCRDN4B6KY456PNKGPTB7OJXEHOBMMZ6EQ23TIRBMIXZUUJODL5RDYM,GBCRDN4B6KY456PNKGPTB7OJXEHOBMMZ6EQ23TIRBMIXZUUJODL5RDYM,XLM,2425999.6385761,7a6333f138d4b67c7f1537c478284e688cda668f40a2522fd87cc312b0f11481
GA2GD7P5MQU2FLF5NP26UJ3KAY5XX42OTJLCG455NUEKPRHLKLJCGJKU,GA2GD7P5MQU2FLF5NP26UJ3KAY5XX42OTJLCG455NUEKPRHLKLJCGJKU,XLM,760244.6727147,26ee1083473039ef1034361205084632ff14310e555f0ee35de104b6c36a7a8c
GDIDAYNCTXAB2WD7V33B4JQMG7FU4IN4OBJKDLCNTLUIJLWN6AVJX7VL,GDIDAYNCTXAB2WD7V33B4JQMG7FU4IN4OBJKDLCNTLUIJLWN6AVJX7VL,XLM,665489.9159236,e5540e35ea64945a4e5aed5ebdb1854396206774f854f5c313008e78058ffef0
GAPU4WSJMFW6Q4G5CLADCNWFIAOGTCC5XXY3DVUA23W7ZPUIYSSGXLIQ,GAPU4WSJMFW6Q4G5CLADCNWFIAOGTCC5XXY3DVUA23W7ZPUIYSSGXLIQ,XLM,387382.2506849,8422c18c6a409ede301e1e5315e9ee94a70d09a0f805e4eadc020862e4717de3
GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,XLM,374042.5926265,7f1eab7b04a22d29fd5ae4c56de0462582f613bcedfbc49ce916fa681c67e3a9
GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,XLM,193009.1033513,2376772dba5df2038912077adf45d2b4bf8279396b99c097076415a7b6b164a4
GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,XLM,186556.2275873,399143501244f5d64713727e5bf11d1522082970a77bb554a42f892042b595a2
GB2DU4ZPFADD74YOWSRB4PS4UKZ6Y3M47IH4OD232HBYVCSR2FS56T6D,GB2DU4ZPFADD74YOWSRB4PS4UKZ6Y3M47IH4OD232HBYVCSR2FS56T6D,XLM,157026.8410658,38e78bdcba32ff20320ed20f25d169770fceda19789c3e17738e2fdc8ed37b51
GACCBSKZSBXIJTQQ3XI6AJVWBMRJFHS2VRSN3YLUVGCR5UTTS74DMXUX,GACCBSKZSBXIJTQQ3XI6AJVWBMRJFHS2VRSN3YLUVGCR5UTTS74DMXUX,XLM,155102.8135855,dc11d7ae62f57901f95adaad9dcdcf35256bcc1bcb8b8fe9c13c58174937ed7e
GCHCPJCRTNHDJ252BX3YFF6D4FTGKDNYLDAC6RZJELPDM6WFMSFVVOCL,GCHCPJCRTNHDJ252BX3YFF6D4FTGKDNYLDAC6RZJELPDM6WFMSFVVOCL,XLM,111975.0174377,401ef5d2dd0d09570639f4f41bf43d03bcd1ffbacaf8b80cd9c765610edea101
GDSOBMG4XI74JD4BO2KXLLGWH4UEOSP3NFTJ4T26RATJG5PAUV2VUKJK,GDSOBMG4XI74JD4BO2KXLLGWH4UEOSP3NFTJ4T26RATJG5PAUV2VUKJK,XLM,108104.4958962,cf9b17d107e0473d26f8b5081fd099de200255d4ca1cf1e12a8781abe0a940c2
GAIN2HU2ITUZPLGNWSH7JXXROL7MYIWDYXCUQDMQVJXFBEBPETSZYHNF,GAIN2HU2ITUZPLGNWSH7JXXROL7MYIWDYXCUQDMQVJXFBEBPETSZYHNF,XLM,107340.4886342,efba1b42c089667ec52125521d0a092ca3099d8012f159ca7f279c3db146e36c
GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,XLM,104968.3369375,8a5494d370196ad44200cfe70aa3d9b50cdef0208d002e7e35d00efb08f5c7d9
GDWRJJNZ2LKEMSGLVVV5CXNRDUMAOCWH7A6LLHE22S55SLKAWQ7IOOPA,GDWRJJNZ2LKEMSGLVVV5CXNRDUMAOCWH7A6LLHE22S55SLKAWQ7IOOPA,XLM,83444.6087126,99e6f3abeeaa11adf03bb4262126f9e69bc4cdaa16aa38a5fd6fbd8625aa2ebe
GBLQLUATIATW47454PRIX6QHY6YFNKLX5XGJBPGVSUHRVQLOV3GNJIYO,GBLQLUATIATW47454PRIX6QHY6YFNKLX5XGJBPGVSUHRVQLOV3GNJIYO,XLM,79093.3803724,c2cabec317483473b5cae93bbc89978a06adcf3db071dda5b0cf26d4f46194fb
GAAUMMCT5PVLB5SP7FJYDXKZYDFJLXLJ34EXFREMDWOZLKYVE2PNVZWO,GAAUMMCT5PVLB5SP7FJYDXKZYDFJLXLJ34EXFREMDWOZLKYVE2PNVZWO,XLM,53287.5175698,4db3dbc0310b194aa6f50fc4bdc7486e612d3d4c2a1af926249423c585fd44a3
GDNACI5NRTKGOURFFDJDCVWSUH4PBAIDYXNBFZFXKPTOHPGHCRNPH5TF,GDNACI5NRTKGOURFFDJDCVWSUH4PBAIDYXNBFZFXKPTOHPGHCRNPH5TF,XLM,53184.4278091,81c9e587703e49515b437a8678be7262ff8e82e47aee0fa6144e58fc37cb5c30
GA4L76V5Z6YHB7YW6NDQ5GOZZTJNSG6RHTWDFPGEP3MGZD47VWGXLOOP,GA4L76V5Z6YHB7YW6NDQ5GOZZTJNSG6RHTWDFPGEP3MGZD47VWGXLOOP,XLM,44200.3728560,a41f85d6b6f9b6a6baa401ee7a8d51fddfe1607c247cdb1ba3a68cc8116844f4
GCQQRVD75YXVFWTURGHNQJY2G3QVNUYYAUGNRAHVRGTVXL47JP5MH6SU,GCQQRVD75YXVFWTURGHNQJY2G3QVNUYYAUGNRAHVRGTVXL47JP5MH6SU,XLM,42203.3116366,5e4e94bfbb896c365ddc219ba8ebfd0d699139276b8d0b643dd7ed7e50d6a465
GC6KA7G6YHD554X7AS6SCXDJ2XHP5MYMKSYPTMWBCKNV3FUWKQXEWQDH,GC6KA7G6YHD554X7AS6SCXDJ2XHP5MYMKSYPTMWBCKNV3FUWKQXEWQDH,XLM,36203.3336301,cc17bfdff281d020a4c09853fb538681a0058a579dc931fc954726b9371eade0
GCHKSY7CRWGVGRH33YZGZ4PBJKA3TORPCGXNUMD6YO5EEU5NCN55HOXI,GCHKSY7CRWGVGRH33YZGZ4PBJKA3TORPCGXNUMD6YO5EEU5NCN55HOXI,XLM,35934.3771771,50d0a2dcaff3668a9ef4c3dba39c4aa7582d5ea339b6b6eb43ed12c4f7187bfe
GD2OKD73SK7OHBSJNOMJ3TFZ6HVSXSEQCZGA5NCWGWDOO6QCB277PQ2Q,GD2OKD73SK7OHBSJNOMJ3TFZ6HVSXSEQCZGA5NCWGWDOO6QCB277PQ2Q,XLM,31493.7745950,262c1cc68585ba043639ed2b060763453d1977e133177da9a892a6da98ff663c
GAGCFJNK7ETAKASG3WPPYEDHAKGUWA5NJSW7RHPX3RIJPZSPIN2XGLI3,GAGCFJNK7ETAKASG3WPPYEDHAKGUWA5NJSW7RHPX3RIJPZSPIN2XGLI3,XLM,26245.7457363,2962414b2f534d1562521f6c6cef1df944502f02b489049a895d4e0f62b4c0c7
GBQYSL457QPUYRPS4TEUAPO37JUU4GYK5ED4AIFNLXVIIUBRM54GMICA,GBQYSL457QPUYRPS4TEUAPO37JUU4GYK5ED4AIFNLXVIIUBRM54GMICA,XLM,23717.7702932,628cc949382126bab66c626ac9b254af4178205660668f7caabfda28c68a58c0
GDZJGEJ3GUMDFYMBIE54G4MWCNCSSIWIDAWUKFKZPQ6BMDOM72V3WRB5,GDZJGEJ3GUMDFYMBIE54G4MWCNCSSIWIDAWUKFKZPQ6BMDOM72V3WRB5,XLM,21780.8617234,4b24eb5cc456a344cdfc4a504141aaa7ed2f5da67bb5110df4020f34fc4582a7
GDG7PTG6J62HPE74BVWNSQWTPSZKBXN6RRUKJRDEEXPSC2OTXXVLIANW,GDG7PTG6J62HPE74BVWNSQWTPSZKBXN6RRUKJRDEEXPSC2OTXXVLIANW,XLM,20993.5521858,ff154ec8f919c36bc900829e50633ae3de63020a1d9483d378319c247c4bf940
GALQD6OACZMX3HVVWGMKPCA6ITVFVTXDANSKU67KSGWOYWXCAWWCCLVW,GALQD6OACZMX3HVVWGMKPCA6ITVFVTXDANSKU67KSGWOYWXCAWWCCLVW,XLM,19335.7818299,9050ce24a5321f09727a94820c23e0a762990018380373c5f097c79c53acde5a
GD3ZOZM4ZXSK6DQICFSWHGFRHGXQBKKV5WE45OGVFML5MAMOWIOZR2VI,GD3ZOZM4ZXSK6DQICFSWHGFRHGXQBKKV5WE45OGVFML5MAMOWIOZR2VI,XLM,18370.5298650,4549beb9756d5bdcc6eab0530b6339a02ea5413692ee441e2ee99b74fddacf55
GCNBI2AXJPGOTR4T2DOBJ4GDVYHKQCHAJ7DO4PA7C4EDW53NDKXUVHYQ,GCNBI2AXJPGOTR4T2DOBJ4GDVYHKQCHAJ7DO4PA7C4EDW53NDKXUVHYQ,XLM,13740.3736698,debb76a7bcc37fc03441e38914a02438a451c682703051e4707cdea03ff5e83c
GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,XLM,11710.4325166,8edaafe7d9a1b8bbde55304d377e35eb8158574387a442dc8aee855fb103059b
