account,destination,asset,amount,transaction_hash
CCSRX5E4337QMCMC3KO3RDFYI57T5NZV5XB3W3TWE4USCASKGL5URKJL,GBGVK3U6E7UWVLUDZWVICWZ6L5IWJ7YSDHAE5SRW6UXFSOACS7OU4YJS,USDC,159842.9567637,9fb0c315e84347a062311f6d1e31c47a8feb10f24389cd3314a948d71949b3a8
GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,USDC,63132.4372271,cd31946fe33c07893985f4a0b805861534d26968cee3cc0a6d0dbfbdf9eec43f
GDBJ7YLMPJJYZIORCL5JFBOGLF55YB7IOVCY5YS5VMREITPW4AEDBI6X,GDBJ7YLMPJJYZIORCL5JFBOGLF55YB7IOVCY5YS5VMREITPW4AEDBI6X,USDC,37058.4850877,1d99ba08cb7bf5440aa8c19c5785113923abf5a89a1b20984730555cc8424a63
GB4J33ZNH63VYRZUOAJCJIEV5LDEFOD2V3ZM62ZKK5IRCA3BBIDEREFH,GB4J33ZNH63VYRZUOAJCJIEV5LDEFOD2V3ZM62ZKK5IRCA3BBIDEREFH,USDC,28030.5359501,c5fd1d4a95098e42c0cfca993319d97a9b1a6928b225eb6ab20366650f6ad3e0
GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,USDC,27629.5946033,739706a28a8f408819d98bda0b6e0ef2070034e38c60c116ae5214fa5b54e08b
GDD7N6ACZHGW2ELKV267HLGYBPWOLW3R3RDP4CWOTVZQHOVNVBOKPT4J,GDD7N6ACZHGW2ELKV267HLGYBPWOLW3R3RDP4CWOTVZQHOVNVBOKPT4J,USDC,24114.4844404,334be9ea23f0a8ff221ca78c9866974f57388f892f4ed28de3a11b96652882b8
GDGEWZMIJ2K6AEYYV2L4FYN27YJP5OVZSWCJIM662D5OS7EL6T6WBGBP,GDGEWZMIJ2K6AEYYV2L4FYN27YJP5OVZSWCJIM662D5OS7EL6T6WBGBP,USDC,20771.5539647,5aa920fe3933882ec1e3a499afdaed30d7787caa717d309dba27eeeb3d1e0762
GDKFUQFR6WHRDJQ6NCNGXSELN6NABN5ZN2WPSOPG5GM2SRCEL2TKMQD7,GDKFUQFR6WHRDJQ6NCNGXSELN6NABN5ZN2WPSOPG5GM2SRCEL2TKMQD7,USDC,20616.2759094,c3e80e8715f9e63fb6bc7453046debbea0f53131151eacfa7a26888702b5ebf3
GD33DPBRNLESN4DQCDDTFSMW6IUUSL5SO3PIV7NUDWBH43TWTCR7WABD,GD33DPBRNLESN4DQCDDTFSMW6IUUSL5SO3PIV7NUDWBH43TWTCR7WABD,USDC,19279.6327330,75ed34d2104c8379902ffbfce4f1405128502e6123656c3e7e303867c0e70d8d
GBENQL3QJIPEOZZBV76KDTRA3TNDBQL3OBMUZHI7B43NE7UOUMBMD4MJ,GBENQL3QJIPEOZZBV76KDTRA3TNDBQL3OBMUZHI7B43NE7UOUMBMD4MJ,USDC,18859.3812079,20e1a7626732e103a17ead5147bada33b73eb6add58d7c6658107d69c2365f25
GD5ZJB3TDU6JIBIEWQNCDN2KEOBI5XX2G5RZUBM4SL7KWCCIO3FDIFTF,GD5ZJB3TDU6JIBIEWQNCDN2KEOBI5XX2G5RZUBM4SL7KWCCIO3FDIFTF,USDC,18326.3199984,ddb20707291e9d85dd33025314b484db8dfa8623139bf7e76cd79610bccf5677
GDCY2PONYVU46RDOWURDYTT7K46EWI2LDZO7NPK5MSB7WSRXAI5IOB4C,GDCY2PONYVU46RDOWURDYTT7K46EWI2LDZO7NPK5MSB7WSRXAI5IOB4C,USDC,17658.5210708,555721ec7167963edc1b14b1a25d81a116bd913bf5312d8655a6e9e9c5c7870c
GBC6W2N2256QRJCEVJEPORMACVV2YILVIQ5XEVHZWBBD5AS3JXVE2AYY,GBC6W2N2256QRJCEVJEPORMACVV2YILVIQ5XEVHZWBBD5AS3JXVE2AYY,USDC,16897.4791869,37ee4f1943bcb28f4aa6db5085ada024e832674adace23cc33038348d5ff8b9b
GCFUKAAGICVWV4ZHFSJEC5OYVBUJSAJCTLZF7MO3HKCB3GTTWW57IGOY,GCFUKAAGICVWV4ZHFSJEC5OYVBUJSAJCTLZF7MO3HKCB3GTTWW57IGOY,USDC,16130.8684504,5b31770c06a5aea279230f5bfd6b11469eba8af2b15c436539e147f75fc88be8
GCWREKOJE7TEBTH36J6FAAN7D7UR6JHF7GDEE36UUTWWTNKHQHF5UMK3,GCWREKOJE7TEBTH36J6FAAN7D7UR6JHF7GDEE36UUTWWTNKHQHF5UMK3,USDC,14470.7929056,f09fa393a40dab6bccce0444595bf546d55391438c9383738120405f3c49c01a
GDU5VNXTKRHXKM4EHWUX3MEDHRCZ65FKSMQZAJHQYKQN7A6ZT4NQZWJ6,GDU5VNXTKRHXKM4EHWUX3MEDHRCZ65FKSMQZAJHQYKQN7A6ZT4NQZWJ6,USDC,13952.6491363,68ac0327c7cb30726945f07a511f2e88edc153cfd1f6e4c177c214356490b1db
GBQUDP3AHEIC5QMD3WEMWCO5ZP37NT6O5WIKH3TSWX7IRIQIJFAJ5ESY,GBQUDP3AHEIC5QMD3WEMWCO5ZP37NT6O5WIKH3TSWX7IRIQIJFAJ5ESY,USDC,13131.0536291,8283095caa7283961dc7356492ca5598a86106360032498abfba8301c3baf1f1
GBSYZQFWRQYATCRHREJ5HE55DK6DQU26QSPCBSOHM2YILGOLFYZNNQSV,GBSYZQFWRQYATCRHREJ5HE55DK6DQU26QSPCBSOHM2YILGOLFYZNNQSV,USDC,12833.0537654,5b0b9026434329f351149a11ce6ad2a75ccde26535b82c66882422887522f979
GCWAUSZKOQYTRTNVILVWSZI53ZGHWZT62LXFHGXZ5PKKYA2RLABJSK76,GCWAUSZKOQYTRTNVILVWSZI53ZGHWZT62LXFHGXZ5PKKYA2RLABJSK76,USDC,12366.1084270,5ebe87495a7229b9e241e80c0603e555ffa74c028d9a45968236fce75f319516
GAOV55RKKZGXYAMHZE3FCNCMJXBZ2EDWY6NGMUF4E4V56ELTQK5ITQWB,GAOV55RKKZGXYAMHZE3FCNCMJXBZ2EDWY6NGMUF4E4V56ELTQK5ITQWB,USDC,11962.7847315,f027f1b865da061d51e1740b103a8ae84a92d114ecd64adcc04e08a52ea80b80
GBIIUZH63Z262QXGKJIP3ZU5DS7L4L2TBTYGPXRIGQXZAF25A72YNULL,GBIIUZH63Z262QXGKJIP3ZU5DS7L4L2TBTYGPXRIGQXZAF25A72YNULL,USDC,11765.0318701,277c0bc058f27e8b4f290eb4c0d91782c0d22e62dd7b6d3f02e95c874ea4a0c3
GCG3DUV2SSI2KJUYKDI74N2VWXYABHS3JIWJUIEI2IUEZCN2LIVHAPPY,GCG3DUV2SSI2KJUYKDI74N2VWXYABHS3JIWJUIEI2IUEZCN2LIVHAPPY,USDC,11351.1215827,3e6ccbd7d98250c68c5f2fd2401635fac8104b95d23047f67977701657371468
GC4LSUUXUCZHLVKME6ED2PYR7NMQZVOAIM4AU6ZHSIHJJCYKJJWFFZCV,GC4LSUUXUCZHLVKME6ED2PYR7NMQZVOAIM4AU6ZHSIHJJCYKJJWFFZCV,USDC,11244.1954506,7796cf81a74c43fea948213c850068d38227c0741ecc668eef9a6e084143e1ad
GDXBTISCOXC2SOIV24MGTXFQLZ2LOE3ZKYWTHGYDYCJRXF3T47BMFILO,GDXBTISCOXC2SOIV24MGTXFQLZ2LOE3ZKYWTHGYDYCJRXF3T47BMFILO,USDC,11243.0768085,5e3ddf008ccfdcb418524c578b893b46ce1e7e712fa252ae2f8cf2a3aa8371d3
GAPU4WSJMFW6Q4G5CLADCNWFIAOGTCC5XXY3DVUA23W7ZPUIYSSGXLIQ,GAPU4WSJMFW6Q4G5CLADCNWFIAOGTCC5XXY3DVUA23W7ZPUIYSSGXLIQ,USDC,11112.5088764,e3321401dee87fb2da63ab7f0fd175930e28bf03cc7f272fd0c191d9e811c080
GA7Y6K6RXCQPZHZJ2RYXJTWHD236WFWOSVCADMXRABHF5K4TFEOGDM7N,GA7Y6K6RXCQPZHZJ2RYXJTWHD236WFWOSVCADMXRABHF5K4TFEOGDM7N,USDC,10591.4047039,69f608d3f23a21b6e4208eecb70340a8abf5b2e1a9545751613dcacd4022b890
GBNFZEDEX6KUSXHOCJH4KVVEEUDSKJXX5TYTSH3TARTEARPIWGPOHHS2,GBNFZEDEX6KUSXHOCJH4KVVEEUDSKJXX5TYTSH3TARTEARPIWGPOHHS2,USDC,10060.7888762,95c52a38784a098c6b05b18dae4d8fc233ea57cc1186d3a7af8f5614a9c30c50
GBPPGSHXAVDCN4OU45QIBIFIMA4VWKI3RY4X3Z7424KXKYIQBPCJR7CI,GBPPGSHXAVDCN4OU45QIBIFIMA4VWKI3RY4X3Z7424KXKYIQBPCJR7CI,USDC,9955.7500217,3d391e474780804f25b917912e2b5d69c5047e41f7143717f10c8b02acb01b01
GBOYKBTFCAVPWRKCHPRWRCDTTFLEWHYWI56X5F56J4F6RWJ6KLR4M5ZG,GBOYKBTFCAVPWRKCHPRWRCDTTFLEWHYWI56X5F56J4F6RWJ6KLR4M5ZG,USDC,9942.6314360,c5f27a1eda37df2d428776c10ba031ea99da8bcc40f8ed1764031a2f58103d32
GAYJJLHV2QQ4W4UKLQI4AKNBVMMJDK24IKYVE253FYNDN4YZMRV42HS5,GAYJJLHV2QQ4W4UKLQI4AKNBVMMJDK24IKYVE253FYNDN4YZMRV42HS5,USDC,9418.3207588,53c1c557a16b3b8e48995175231f988be35cf4c5f07410432e13b3b4b38a1d78
GDGXDQHZKOH5SMGYYIF5HKLXZASNR47BNRYKXEJKXD6X3GVSZGMPGYME,GDGXDQHZKOH5SMGYYIF5HKLXZASNR47BNRYKXEJKXD6X3GVSZGMPGYME,USDC,9411.8891543,60598088695e91dc5ce1bc368c893f55b60e5e5e08b35859dea951aba09fbb72
GDMY4247UFHZMP7SFQXZ5CBHOJMDVZQE3ENJM7JF7ZR4DQ2TWIPKZU3E,GDMY4247UFHZMP7SFQXZ5CBHOJMDVZQE3ENJM7JF7ZR4DQ2TWIPKZU3E,USDC,9290.8644609,49ef51f8721b6715df59bee0552d42aff1410150d634b5fbaa30dc979601c05d
GBHD3V2XKX6DXHYZDSHA2UYZTO4MKB2R6QNSCDT4XEKNGTLPXT7A36EA,GBHD3V2XKX6DXHYZDSHA2UYZTO4MKB2R6QNSCDT4XEKNGTLPXT7A36EA,USDC,8687.4545899,cc084721880139cdbb8bdff749dfa66c21d084db1f4b936ad97bf148e8ea65ce
GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,USDC,8361.1499358,9ecf3a53735cd3cf88e9019ae3eb7599972afdd5ac2613b37999a4b32dbd218d
GAIN2HU2ITUZPLGNWSH7JXXROL7MYIWDYXCUQDMQVJXFBEBPETSZYHNF,GAIN2HU2ITUZPLGNWSH7JXXROL7MYIWDYXCUQDMQVJXFBEBPETSZYHNF,USDC,8061.9368030,2bf9b336b60af7f49c434227cf8396f1c19a24310c80049a1887f80223a5dade
GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,USDC,8040.2193032,a43624c906fd271e8d50a50398336db389f13d33e458e3994899fee57def8357
GACKTI7JNBSQFCXAGF33DY5GP6ZAG7ZC6I5BSQ76YWTJ6FBD3DZTP6WJ,GACKTI7JNBSQFCXAGF33DY5GP6ZAG7ZC6I5BSQ76YWTJ6FBD3DZTP6WJ,USDC,8033.8944308,2cf9df3afd5f08288a4dbb6b4ed813e3d7add3c79dd1062e8830c100bfe294d1
GBEPTCX3INOO7565JDEFNCGMKQVTUIWDB356BASWME74RDJOCGQEI7WP,GBEPTCX3INOO7565JDEFNCGMKQVTUIWDB356BASWME74RDJOCGQEI7WP,USDC,7604.1413742,07fea0b14b1e84b8b80da0479e2292cff17b39a1c599e02dce18acf3cd19a9b8
GABWDIZNURBP3DQYI7IUXU2GQSSZWY5R6FYDXX5NQ64QEUAUYFEGM57O,GABWDIZNURBP3DQYI7IUXU2GQSSZWY5R6FYDXX5NQ64QEUAUYFEGM57O,USDC,7558.2071474,027bed058b85348ceaa89c8a93d61ca170b3f9367cc57d0c0ce1905f22e621a6
GD5P5DSWARGNPEJNPYQCKJZQ34T3KSIGCOKWKIXDARJWGLCJNMP7QBOT,GD5P5DSWARGNPEJNPYQCKJZQ34T3KSIGCOKWKIXDARJWGLCJNMP7QBOT,USDC,7044.7132805,bc047d35189743c41ea34bd42cb4139379c83d47512094c69a7c9df9ae73cff6
GCZCKTFEJPCEVLFB3DKZTQVNIBFXL3X3BA4JNBE773TE5LTL3NCD3ICD,GCZCKTFEJPCEVLFB3DKZTQVNIBFXL3X3BA4JNBE773TE5LTL3NCD3ICD,USDC,6991.8909563,64cace8c211610cd979cbbf3ad65d0105c8a91eb098caa998164d022061c9be9
GD6KB4YPGKONGKSPRVEOUDLSCIAD42XHCB4QWLR5AGNF2ET5T2OUZZQT,GD6KB4YPGKONGKSPRVEOUDLSCIAD42XHCB4QWLR5AGNF2ET5T2OUZZQT,USDC,6115.2018848,e1c1828eb4053f78326dc776da794bca60d2807b87ebb68e52a23db099f1e495
GD44QUBRSDD7BCVUH6SKNZ3XMKPHLJYUSNZNHGD7RK2CULWXLYQNPSER,GD44QUBRSDD7BCVUH6SKNZ3XMKPHLJYUSNZNHGD7RK2CULWXLYQNPSER,USDC,6007.3814589,aa8b86e05ea585ff0e4329b78175ba340b964413088606f70d65a370bd88a9cd
CCR63UWZKPVR2OAZJEBHT4OKBLHX2OAMUYZ63JLO2V72FY3SKAXQTGF6,GACPU46V4OBGHFMPUEI3NE52CTX2BB6EOIYKWDZSLW6RDY6OX56Q2SG4,USDC,5416.9518161,4d2ceca029f2ca7353125b512e95e0a798f2c5b122c9c2d37eb8a9431b944ba3
GCKW7Z5AZBXYCAIHWIHTE2QVRAZWWX2CVVQQPAVSVTL4MFU7B46YWQ5U,GCKW7Z5AZBXYCAIHWIHTE2QVRAZWWX2CVVQQPAVSVTL4MFU7B46YWQ5U,USDC,5084.8698077,d46df86ce3b9b900ff2c98f490b8cf5abc06bafdc4a92926a8d8df73e3f9337b
GD6PSKJKUQY2CIH56ER27U5Q4LVSSPNCIUCHK45CGIPQHXFGZIYIKFD4,GD6PSKJKUQY2CIH56ER27U5Q4LVSSPNCIUCHK45CGIPQHXFGZIYIKFD4,USDC,4761.6771952,d7a929a10dc63cbe95e2ed5d8b7220e94bce13f8f504f794100203dfe2ddaadd
GBT6PZHNWHXLTRDSMIF64AVEEEK7X4AYPJQIU4EVVWB6DWUWDYIE3WSK,GBT6PZHNWHXLTRDSMIF64AVEEEK7X4AYPJQIU4EVVWB6DWUWDYIE3WSK,USDC,4674.1470846,9d127f3d81efb8338af7aaf79a9454962e40a30282a251c8563e5ec3ea140f0a
GAAEWVJCGSWE7L5LTZ6LSMIJFVY7MXCDOXWFH2U6CQDCB4Z2YT5EOW3I,GAAEWVJCGSWE7L5LTZ6LSMIJFVY7MXCDOXWFH2U6CQDCB4Z2YT5EOW3I,USDC,4231.2334337,e1e6a2699e070f50ba2ff8fa30ac6ed151c347d4589f33377ffa50dd29013eba
GCJ5SLDGO4MUP6ATCD6C42V74S5N2YLNPX77C7YY7G72EOVYIIHAXDN3,GCJ5SLDGO4MUP6ATCD6C42V74S5N2YLNPX77C7YY7G72EOVYIIHAXDN3,USDC,4138.1184928,d157e0ee9d6af0e0de1a7236685b53c751bc0deb12f6c0d1bb64659fea29e3ef
GC54F4JGHT7QWSWFYC6QFJXMN5QCZP52VSC3H6IIQBKUSLEIJ2T3HLLC,GC54F4JGHT7QWSWFYC6QFJXMN5QCZP52VSC3H6IIQBKUSLEIJ2T3HLLC,USDC,3839.6909058,8083473681b17fe223804a1f646fce274499e7859cd99f5993413eae9b9ba898
