account,destination,asset,amount,transaction_hash
CBZUCS36UVRY4ZAHJIKUOGFZWOOK6SPZOIZIA25IOP47P5W6BMVUAEM5,CBZUCS36UVRY4ZAHJIKUOGFZWOOK6SPZOIZIA25IOP47P5W6BMVUAEM5,BLND-USDC-LP,7472299840739,f54588eda8265c13da549d95fed0fea84761be75cb97560f65b457156d62d7ea
GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,BLND-USDC-LP,1873188156038,c02c65fb39af119408d8a62231d680e2e9fc1cc2ce882c94816ea645bbc74ad8
GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,BLND-USDC-LP,1784882914210,409e522a4ca3b7a66302ae9e0976a352892b582e1e286d42532607fca6482b3f
GAGNU4JUDML3BYEAH5MOKWDNYSIMWNKP2WZX5XM4WZZ4H7Y4RPGYBLOX,GAGNU4JUDML3BYEAH5MOKWDNYSIMWNKP2WZX5XM4WZZ4H7Y4RPGYBLOX,BLND-USDC-LP,513612514163,07fbff101b80ad6ceb0b96227fbbd42b9706604a5325ba3d95dd6ddc0faf81e3
GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,GBPFUT76CUQTILFAOSTQ2PRFHIVQDG4PJESPM6DSFBZF56X5E5ZRYDAD,BLND-USDC-LP,430083801375,b92a397b630d025657dd908369a94bb5bdac69c9c323b0082177172252922e7c
GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,GCPIKUGS2RNSH6HAKUSIDBAVHC62QMDFUNXUTET4Q3YDDCUO5B3F7D45,BLND-USDC-LP,355403001043,89e7fc7e24571d838d56e38e31c8ae0ea90b363cf406a087851ff50fb8750377
GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,BLND-USDC-LP,265289367277,17847fe8f11fa6b7976cea99a9e7a719283465560d4b1b8b5f7118ce332df50a
GCFJLCJ4HEB5OQRDSIEWQKAL7OBONG4SEWNEVW34SJQGCQ7ALFGQ22FV,GCFJLCJ4HEB5OQRDSIEWQKAL7OBONG4SEWNEVW34SJQGCQ7ALFGQ22FV,BLND-USDC-LP,246785700080,8db62a3f16934a034b4936d148ea4406893ebdda8b0d12ec381f77811f8d3bab
GA2GD7P5MQU2FLF5NP26UJ3KAY5XX42OTJLCG455NUEKPRHLKLJCGJKU,GA2GD7P5MQU2FLF5NP26UJ3KAY5XX42OTJLCG455NUEKPRHLKLJCGJKU,BLND-USDC-LP,163191768218,269b2c971f69b632568d241591bf3a50bae365ab3f15efcf6cf4a21c6bde915d
GDDIQ77QRV2LAK3I2K6SVB7VGTDOT4WRTUTXOX2TAAS2WVUFDTHILJTD,GDDIQ77QRV2LAK3I2K6SVB7VGTDOT4WRTUTXOX2TAAS2WVUFDTHILJTD,BLND-USDC-LP,130801787722,d7a2a6d49b3e50148c7b9424b423f9018de14aa968f3c3b77d30b07ebb9a47e4
